AbsClampIATCall                        returned 0 writes, no hit
ArgScaledLoadCmpP1                     returned 1 writes, no hit
ArgScaledTestStore                     returned 1 writes, no hit
ArraySearch                            returned 0 writes, no hit
Atan2QuadrantLookup                    returned 1 writes, no hit
AtanDualDeltaThreshold                 returned 36 writes, no hit
Audio4EntryScopeDispatch               returned 1 writes, no hit
AudioBank2StatePickerWalk              ran out  28 writes, no hit
AudioBindEntry                         returned 3 writes, no hit
AudioBindEntryB                        returned 3 writes, no hit
AudioBridgeMStackChainCopy             returned 2 writes, no hit
AudioByteCounterChain                  ran out  25 writes, no hit
AudioChainInit                         returned 8 writes, no hit
AudioChainStateInitSequence            returned 19 writes, no hit
AudioCmpCascadeDispatcher              returned 0 writes, no hit
AudioFlagDispatchAggregator            returned 4 writes, no hit
AudioFlagDispatchAggregatorAH          returned 4 writes, no hit
AudioInitArgs3                         returned 3 writes, no hit
AudioInitChainTag                      returned 17 writes, no hit
AudioInitInstallSelfPeriodic           returned 1 writes, no hit
AudioInitInstallerPair                 returned 14 writes, no hit
AudioInitLoopTriple                    returned 7 writes, no hit
AudioInitSequence                      returned 9 writes, no hit
AudioInstall2BodyDualSetup             returned 1 writes, no hit
AudioInstall3StateSubXform             returned 14 writes, no hit
AudioInstallSelf3StateWithSubcall      ran out  5 writes, no hit
AudioInstallSelfChannel8               returned 20 writes, no hit
AudioInstallSelfShiftedChainInit       returned 20 writes, no hit
AudioInstallSelfStateMachine2          ran out  76 writes, no hit
AudioInstallSelfStatePush              returned 46 writes, no hit
AudioMStackPushHandlerPair             returned 4 writes, no hit
AudioMicroEntries                      returned 2 writes, no hit
AudioMixerKnobUpdate                   returned 4 writes, no hit
AudioMixerStep                         returned 2 writes, no hit
AudioMode2BankSetup                    ran out  27 writes, no hit
AudioModeInit                          ran out  27 writes, no hit
AudioModeInitVariant                   ran out  28 writes, no hit
AudioPhaseDispatch                     ran out  21 writes, no hit
AudioPreloadStreamingTrack             returned 16 writes, no hit
AudioShutdownSequence                  returned 0 writes, no hit
AudioState50b4BitDispatcher            returned 4 writes, no hit
AudioStateClearAndChainStep            returned 0 writes, no hit
AudioStateInitMultiInstall             ran out  28 writes, no hit
AudioStateMachineMulti                 ran out  28 writes, no hit
AudioStateRemap                        returned 20 writes, no hit
AudioStateRemapB                       returned 21 writes, no hit
AudioStreamFsm5Way                     returned 44 writes, no hit
AudioSwap2ChainBank3State              returned 0 writes, no hit
AudioSwapNegate                        returned 4 writes, no hit
AudioTriEntryFlagPairInit              ran out  27 writes, no hit
AudioVoiceSequencerCluster             returned 1 writes, no hit
AudioVolumeRescale                     returned 6 writes, no hit
Audio_PlaySoundId                      returned 0 writes, no hit
Audio_TimerSet                         ran out  0 writes, no hit
Audio_TimerTeardown                    returned 0 writes, no hit
Audio_TimerTick                        returned 0 writes, no hit
Audio_UpdateChannels                   returned 16 writes, no hit
AuxAudioDevCapsQuery                   ran out  0 writes, no hit
AuxAudio_Init                          ran out  0 writes, no hit
AuxAudio_SetVolume                     returned 0 writes, no hit
AuxAudio_Teardown                      returned 0 writes, no hit
BackdashSetupCluster                   returned 15 writes, no hit
BattleEndCluster                       returned 44 writes, no hit
BboxProjectAndStash                    returned 13 writes, no hit
BeginFrame                             returned 0 writes, no hit
BigDataBlob                            ran out  0 writes, no hit
BillboardChainRender                   returned 22 writes, no hit
BillboardSheetDualEmit                 returned 19 writes, no hit
Bit2GatedChainInit                     returned 4 writes, no hit
BitDispatchDualCallMStackPush          returned 5 writes, no hit
BitFlagEffectDispatch                  returned 0 writes, no hit
BitGateInstallChainJmp                 returned 14 writes, no hit
BitSavePushCallMergePop                returned 17 writes, no hit
BitSetByIndex                          returned 1 writes, no hit
BitShiftExtract                        returned 1 writes, no hit
BitShiftMultiPrecision                 returned 0 writes, no hit
BitTestFreeClear                       returned 0 writes, no hit
BitmapBlitRunLength                    returned 61 writes, no hit
BitsetIterClear                        returned 1 writes, no hit
BitsetReserve                          returned 0 writes, no hit
BitsetTrailZeroCheck                   returned 0 writes, no hit
BlitBlend16bpp                         returned 0 writes, no hit
BlockedCounterCluster                  returned 4 writes, no hit
BmpScreenshotWriter                    returned 0 writes, no hit
Boot                                   ran out  2 writes, no hit
BootCallChainDoubleMul10               returned 26 writes, no hit
BootChainBidirRecurseWalk              returned 8 writes, no hit
BootChainBuildAndStep                  returned 6 writes, no hit
BootChainMaskAndDispatch               returned 3 writes, no hit
BootChainPushAddSignFlag               returned 3 writes, no hit
BootChainStreamWalkExtract             returned 2 writes, no hit
BootChainTreeRecurseWalk               returned 1 writes, no hit
BootChainTripleStoreThenDispatch       returned 13 writes, no hit
BootCountdownPeriodicInstall           returned 9 writes, no hit
BootDispatchSlotInit                   returned 6 writes, no hit
BootDualStateInstallSelf               returned 4 writes, no hit
BootFatalAbortHandler                  ran out  1 writes, no hit
BootFlagChainAudioPause                returned 25 writes, no hit
BootFrameSetup                         ran out  13 writes, no hit
BootGatedInitInstallPair               returned 25 writes, no hit
BootInitChainHeavy                     ran out  0 writes, no hit
BootInitClearSlotSeed                  ran out  25 writes, no hit
BootInitGuardedCallChain               ran out  25 writes, no hit
BootInitTripleAddChain                 returned 17 writes, no hit
BootInitVec3PhaseInstall               ran out  25 writes, no hit
BootInstallPeriodicAudio               returned 13 writes, no hit
BootInstallPeriodicTriple              returned 14 writes, no hit
BootInstallerPair                      returned 13 writes, no hit
BootMStackBracket3SubdispatchPair      returned 3 writes, no hit
BootMStackBracketChain                 returned 11 writes, no hit
BootMStackBracketedScaledStores        returned 13 writes, no hit
BootMStackPopPush3Install              returned 17 writes, no hit
BootMod6487eClampAndChainMul10         returned 1 writes, no hit
BootMstackInit                         returned 6 writes, no hit
BootMultiAssetLoadStateInit            ran out  1 writes, no hit
BootOneShotMStackPush3                 returned 12 writes, no hit
BootOneShotSetup                       returned 12 writes, no hit
BootPackedDispatchPair_PushSetXfmMaskCallPop_00413380 returned 6 writes, no hit
BootPackedDispatchPair_PushSetXfmMaskCallPop_00413580 returned 6 writes, no hit
BootPhaseGateBracketedInit             returned 6 writes, no hit
BootScheduledNodeTimerWalk             returned 0 writes, no hit
BootSetJmpStoreThenChainTriple         returned 26 writes, no hit
BootSetupWithMStackBody                returned 6 writes, no hit
BootSlotInstallChainTail               returned 9 writes, no hit
BootStateInitLongChain                 ran out  13 writes, no hit
BootStateInitWithRecurseInstall        ran out  15 writes, no hit
BootStateMachine4Way                   ran out  30 writes, no hit
BootStateTriple                        returned 1 writes, no hit
BossArrivalSequence                    returned 17 writes, no hit
BossDashCluster                        returned 28 writes, no hit
BossPunchCluster                       returned 8 writes, no hit
BossRoarCluster                        returned 8 writes, no hit
BossRoomBootstrap                      ran out  11 writes, no hit
BossRoomInitCluster                    returned 3 writes, no hit
BossSpinCluster                        returned 1 writes, no hit
BucketBlockAllocSplit                  returned 0 writes, no hit
BuildCharacterCaseTables               ran out  0 writes, no hit
BuildMaskFromArray                     returned 0 writes, no hit
BuildRotMatrix_OrderA                  returned 0 writes, no hit
BuildRotMatrix_OrderB                  returned 0 writes, no hit
BuildRotMatrix_OrderC                  returned 0 writes, no hit
BuildSortKeyLUT                        ran out  0 writes, no hit
BulkSlotInit                           returned 1 writes, no hit
BulletVolleySpawner                    returned 4 writes, no hit
ByteWordTableTaggedDispatch            returned 1 writes, no hit
CRTHandleLookup                        ran out  0 writes, no hit
CRTSignalDispatch                      returned 0 writes, no hit
CallCmpDirtyTrueOrFalse_0045f570       returned 2 writes, no hit
CallCmpDirtyTrueOrFalse_0045f5a0       returned 1 writes, no hit
CallDirty4DualJmp                      returned 5 writes, no hit
CallDualStoreXorBit                    returned 6 writes, no hit
CallIATIfThenCall                      ran out  0 writes, no hit
CallJmp                                ran out  318 writes, no hit
CallPauseAddDualStore_0048b480         returned 0 writes, no hit
CallPauseAddDualStore_0048b4b0         returned 0 writes, no hit
CallPauseCallTestStackPushJmp          returned 36 writes, no hit
CallPauseClear3CallTriple              ran out  0 writes, no hit
CallPauseCmpDoubleJmp                  returned 26 writes, no hit
CallPauseCmpStateJmp                   returned 28 writes, no hit
CallPauseConstStoreJmp_BootChainMaskAndDispatch_then_MStackBitLoopTripleCall returned 6 writes, no hit
CallPauseConstStoreJmp_MultiThunkDispatcher_then_InstallSelfPair returned 10 writes, no hit
CallPauseConstStoreJmp_Push80SetWalkNegDualCallPop_then_InstallSelfWaitCmp returned 12 writes, no hit
CallPauseDecScaled                     returned 5 writes, no hit
CallPauseDirty1JmpDirty4StackPush_GuardedDoubleIncCmpJmp returned 22 writes, no hit
CallPauseDirty1JmpDirty4StackPush_GuardedSeq_GuardedChainCmpDualBitXor_then_ScaledIncCmpJmp returned 11 writes, no hit
CallPauseDirty4ScaledSet_tag_0x81      returned 2 writes, no hit
CallPauseDirty4ScaledSet_tag_0x82      returned 2 writes, no hit
CallPauseDirty4ScaledSet_tag_0x83      returned 2 writes, no hit
CallPauseDirty4ScaledSet_tag_0x86      returned 2 writes, no hit
CallPauseDirty4ScaledSet_tag_0x87      returned 2 writes, no hit
CallPauseDirty4ScaledSet_tag_0x88      returned 2 writes, no hit
CallPauseDirty4StackPushFn             returned 10 writes, no hit
CallPauseDirtyConstJmp                 returned 29 writes, no hit
CallPauseDirtyLit_00433910             returned 37 writes, no hit
CallPauseDirtyLit_00488c70             returned 21 writes, no hit
CallPauseDirtyMStackPush484b40         returned 31 writes, no hit
CallPauseDirtyMStackPushFn             returned 32 writes, no hit
CallPauseDirtyPushCall                 returned 21 writes, no hit
CallPauseDirtyScaledSet7               returned 7 writes, no hit
CallPauseDirtyScaledStore              returned 2 writes, no hit
CallPauseDirtyTwoSetsJmp_0046fbe0      returned 33 writes, no hit
CallPauseDirtyTwoSetsJmp_0046fc20      returned 33 writes, no hit
CallPauseEvtPushJmp                    returned 7 writes, no hit
CallPauseFourSet                       returned 34 writes, no hit
CallPauseInc                           returned 3 writes, no hit
CallPauseJmpStateInit                  returned 46 writes, no hit
CallPauseJmpThenSetChild               ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
CallPauseLitInitJmp                    returned 22 writes, no hit
CallPauseLoadAndDispatch               returned 33 writes, no hit
CallPauseMStackPushSet0Jmp             returned 34 writes, no hit
CallPauseMStackPushSet2Jmp             returned 36 writes, no hit
CallPauseMStackPushSet3Jmp             returned 44 writes, no hit
CallPauseMStackPushSet4Jmp             returned 39 writes, no hit
CallPauseMStackPushSet9Jmp             returned 36 writes, no hit
CallPauseScaledByteSet                 returned 4 writes, no hit
CallPauseScaledDecJmp                  returned 7 writes, no hit
CallPauseScaledStoreAdd                returned 4 writes, no hit
CallPauseScaledStoreCopyJmp            returned 2 writes, no hit
CallPauseScaledStoreJmp_CopyJmp_GuardedChainPushSetCallPop_g_currentNodeIdx_then_CallPauseDirty1JmpDirty4StackPush returned 13 writes, no hit
CallPauseScaledStoreJmp_CopyJmp_GuardedChainPushSetCallPop_g_currentNodeIdx_then_DualGuardPushInstallJmp returned 13 writes, no hit
CallPauseScaledStorePushCall           returned 21 writes, no hit
CallPauseScaledStoreXJmp               returned 4 writes, no hit
CallPauseTestByte4ZeroCB               returned 8 writes, no hit
CallPauseTestByteJmpCalls              returned 29 writes, no hit
CallPauseTriCmpJmp                     returned 10 writes, no hit
CallPauseTripleScaledJmp               ran out  2 writes, no hit
CallSetMultiGlobalsJmp                 ran out  30 writes, no hit
CallSetPause                           returned 1 writes, no hit
CallTestPushSubCall                    returned 0 writes, no hit
CallThreeSumLea                        ran out  0 writes, no hit
CallTwoSumShl                          ran out  0 writes, no hit
CallZero                               returned 0 writes, no hit
CallZero2                              returned 0 writes, no hit
Calloc                                 ran out  1 writes, no hit
CameraAimSplineDriver                  returned 4 writes, no hit
CameraBounceOverflow                   returned 26 writes, no hit
CameraBounceUpdate                     returned 15 writes, no hit
CameraProjectionInitSweep              returned 5 writes, no hit
CameraSetupAndCullFan                  returned 37 writes, no hit
CameraZoomFsmCluster                   returned 11 writes, no hit
Cascade3ChainInit                      returned 23 writes, no hit
Cascade4StepBitTest                    returned 2 writes, no hit
Cascade5StageInit                      returned 19 writes, no hit
CdeclArgScaledLookupAndStore           returned 2 writes, no hit
CfltcvtFormat                          returned 2 writes, no hit
Chain2AxisDiffStoreTailJmp             returned 3 writes, no hit
Chain2CallMul10Accum                   returned 1 writes, no hit
Chain3CallGuarded                      returned 35 writes, no hit
ChainAccumMul10Pair                    returned 2 writes, no hit
ChainDecCondStoreCallJmp               returned 39 writes, no hit
ChainDiff3Mul10Install                 returned 6 writes, no hit
ChainDirtyBitWalker                    returned 2 writes, no hit
ChainDispatcher4Call                   ran out  10 writes, no hit
ChainFieldCopyTailJmp                  returned 4 writes, no hit
ChainFieldTest2Branch                  returned 16 writes, no hit
ChainGatedNegAccum                     returned 4 writes, no hit
ChainGetterStateInstaller              returned 2 writes, no hit
ChainInit3CallTailJmp                  ran out  25 writes, no hit
ChainInitDoublePushCall                returned 15 writes, no hit
ChainInitMul10BulkStore                returned 5 writes, no hit
ChainListVecAdd                        returned 1 writes, no hit
ChainMul10DotProd                      returned 2 writes, no hit
ChainNodeAdvanceCallback               returned 14 writes, no hit
ChainNodeInit                          returned 8 writes, no hit
ChainPathMul25                         returned 41 writes, no hit
ChainPickArgScaledInit                 returned 4 writes, no hit
ChainSearch                            returned 3 writes, no hit
ChainSetCallPauseDispatch              ran out  23 writes, no hit
ChainSetupBitToggle                    returned 5 writes, no hit
ChainShiftRight8                       returned 0 writes, no hit
ChainSlotSetupInstallSelf              returned 6 writes, no hit
ChainStoreCmpJmp                       returned 3 writes, no hit
ChainStreamMatMulVecAdd                returned 11 writes, no hit
ChainTableWalkStore                    returned 5 writes, no hit
ChainUnlinkPushFree                    returned 0 writes, no hit
ChainWalkCallCmp                       ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
ChainWalkCleanup                       returned 1 writes, no hit
ChainWalkInstall                       returned 6 writes, no hit
ChainWalkPushPop                       returned 2 writes, no hit
ChainWalkSelfRecursive                 returned 16 writes, no hit
ChainedEvent3                          returned 27 writes, no hit
CharSelectFsmCluster                   returned 16 writes, no hit
CharSelectSetupCluster                 returned 3 writes, no hit
CharSelect_1v1                         returned 53 writes, no hit
CharSelect_CpuBattlesToggle            returned 46 writes, no hit
CharSelect_HelpPrompts                 returned 41 writes, no hit
CharSelect_Team                        returned 53 writes, no hit
CharSelect_TeamSize                    returned 51 writes, no hit
CheckInstallPath                       ran out  0 writes, no hit
CinematicCFsmCluster                   returned 22 writes, no hit
CinematicFsmCluster                    returned 1 writes, no hit
CinematicStageCluster                  returned 16 writes, no hit
CjChainResetThreshold                  ran out  3 writes, no hit
CjDispatchCommit                       returned 14 writes, no hit
CjFieldCopyCascade                     returned 17 writes, no hit
CjInstallSelfRouter                    returned 46 writes, no hit
CjMaskedFlagProbe                      returned 1 writes, no hit
CjPairCallCmp                          returned 1 writes, no hit
CjTableThresholdDispatch               returned 3 writes, no hit
ClampMulShiftStore                     returned 0 writes, no hit
ClampNegPair                           returned 17 writes, no hit
ClampTwoToMax_004226a0                 returned 0 writes, no hit
ClampTwoToMax_004226e0                 returned 0 writes, no hit
CleanupCallTwice                       returned 0 writes, no hit
ClearBit2x34                           returned 1 writes, no hit
ClearTwoCallSetStore                   ran out  25 writes, no hit
CloseAndThunksBundle                   ran out  0 writes, no hit
CloseFd                                ran out  0 writes, no hit
CloseImpl                              ran out  0 writes, no hit
Cmp13333_IdCascadeBitSet_00439fa0      returned 0 writes, no hit
Cmp200Jmp                              returned 40 writes, no hit
Cmp2CallDirtyCall                      ran out  6 writes, no hit
Cmp2DirtySetOrClear_0049fb10           returned 0 writes, no hit
Cmp2DirtySetOrClear_0049fb40           returned 0 writes, no hit
Cmp2DirtyToggle                        returned 0 writes, no hit
Cmp2OrSet0b                            returned 2 writes, no hit
Cmp2OrSet0b_then_SetWalkPhaseFff_004468a0 returned 3 writes, no hit
Cmp30000And18000                       ran out  6 writes, no hit
Cmp3DirtyToggle                        returned 0 writes, no hit
Cmp3JmpOrPushCall                      returned 38 writes, no hit
Cmp7CondStateUpdate                    returned 1 writes, no hit
Cmp7DirtyToggle                        returned 0 writes, no hit
Cmp9DirtyToggle                        returned 0 writes, no hit
CmpByteJmp                             returned 0 writes, no hit
CmpCallPushIATCall                     ran out  0 writes, no hit
CmpCallPushIATCall2                    ran out  1 writes, no hit
CmpCondIdxArrLookup                    returned 1 writes, no hit
CmpDirectOrIndirectChain               returned 0 writes, no hit
CmpDispatchPushCallPop                 returned 11 writes, no hit
CmpDivJmp                              returned 3 writes, no hit
CmpDualPatchCallJmp                    returned 3 writes, no hit
CmpDualPatchScaledRangeJmp             returned 34 writes, no hit
CmpDualStateMatch                      returned 0 writes, no hit
CmpEax1OrSetDirty                      returned 0 writes, no hit
CmpEqInitCallElseJmp                   returned 36 writes, no hit
CmpEqWalkSetCallToggleDirty            returned 4 writes, no hit
CmpJmpConstStoreJmp                    returned 21 writes, no hit
CmpJmpTwoBranch                        returned 8 writes, no hit
CmpP1DualInitStore_00433d30            returned 2 writes, no hit
CmpP1DualInitStore_00482ab0            returned 2 writes, no hit
CmpP1GTSetup                           returned 1 writes, no hit
CmpP1ScaledInit                        returned 0 writes, no hit
CmpP1ScaledInitB                       returned 0 writes, no hit
CmpP1ScaledLoad74                      returned 1 writes, no hit
CmpP1ScaledLoad7c                      returned 1 writes, no hit
CmpP2P1ScaledJmp                       returned 2 writes, no hit
CmpRangeJmpStateInit                   returned 40 writes, no hit
CmpccccCallPauseDirtyJmp               returned 30 writes, no hit
ColdLoopTail                           ran out  1 writes, no hit
Color15BitPacker                       returned 0 writes, no hit
ComReleaseCapture_004aeee0             returned 0 writes, no hit
ComReleaseCapture_004afb50             returned 0 writes, no hit
ComReleaseCapture_004b0380             returned 0 writes, no hit
ComReleasePair_004af440                returned 0 writes, no hit
ComReleasePair_004afcd0                returned 0 writes, no hit
ComReleasePair_004b0500                returned 0 writes, no hit
ComRelease_g_comptr_0058c7b8           returned 0 writes, no hit
ComRelease_g_comptr_0058c7bc           returned 0 writes, no hit
ComRelease_g_comptr_0058c7c0           returned 0 writes, no hit
ComRelease_g_comptr_0058c870           returned 0 writes, no hit
ComRelease_g_comptr_0058c8f0           returned 0 writes, no hit
ComSoundSetup_004af6c0                 returned 0 writes, no hit
ComSoundSetup_004afef0                 returned 0 writes, no hit
CombatChainWalkExpand                  returned 3 writes, no hit
ComboFinisherEventCluster              returned 17 writes, no hit
ComboLoopCluster                       returned 44 writes, no hit
ComboMenuFsmCluster                    returned 26 writes, no hit
ComboMoveSelectFsmCluster              returned 11 writes, no hit
ComboScriptDispatchCluster             ran out  2 writes, no hit
ComboSpecialEventCluster               returned 1 writes, no hit
ComputeConfigHash                      returned 0 writes, no hit
CondInstallDispatch_00476e20           returned 3 writes, no hit
CondInstallDispatch_00476ed0           returned 3 writes, no hit
CondInstallDispatch_00477000           returned 2 writes, no hit
CondPickDualStore                      returned 0 writes, no hit
CondPlayerLookup_0048f270              returned 0 writes, no hit
CondPlayerLookup_0048f950              returned 0 writes, no hit
CondPlayerLookup_004ac120              returned 1 writes, no hit
ConditionalAcc3or4                     returned 1 writes, no hit
ConditionalAcc4or3                     returned 1 writes, no hit
Config_RestoreGlobals                  returned 20 writes, no hit
Config_SaveToRegistry                  returned 0 writes, no hit
Config_SnapshotGlobals                 returned 0 writes, no hit
Const0303InitJmp                       returned 38 writes, no hit
Const0x2005Store                       returned 2 writes, no hit
Const111ScaledStoreJmp                 returned 17 writes, no hit
Const20cFae2Jmp                        returned 18 writes, no hit
Const4ec8f8DirtyScaledStore            returned 4 writes, no hit
Const5Call_PauseDirty4_Jmp             returned 4 writes, no hit
Const6Call_PauseDirty4_Jmp             returned 4 writes, no hit
Const7cCallJmp                         returned 30 writes, no hit
ConstStoreCallJmp_ByteWordTableTaggedDispatch_then_Phase3PackedInstallSelf returned 22 writes, no hit
ConstStoreCallJmp_ChainDirtyBitWalker_then_DualScaledLoadStoreJmp returned 7 writes, no hit
ContinueScreenFsm                      ran out  25 writes, no hit
Copy3Dwords                            returned 0 writes, no hit
Copy3Fields38                          returned 3 writes, no hit
Copy3Fields3c4044                      returned 3 writes, no hit
Copy3FieldsNeg                         returned 4 writes, no hit
CopyArgs16ToGlobals                    returned 0 writes, no hit
CopyByteUntilNull                      returned 7 writes, no hit
CopyCallPauseJmp_MStackPush2ChainLLInsert_then_StackPopDispatchTagged ran out  HIT ['0x535e0c', '0x53a1e4', '0x53a73c']
CopyCallPauseJmp_TierBranchChain_then_MStackPush3TripleMul10WithAbs returned 0 writes, no hit
CopyGlobal                             returned 0 writes, no hit
CopyJmp_GuardedChainPushSetCallPop_g_currentNodeIdx returned 6 writes, no hit
CopyJmp_GuardedSixFieldCopy_g_cj_0054205c_00445ec0 returned 3 writes, no hit
CopyJmp_GuardedSixFieldCopy_g_cj_0054205c_00446180 returned 3 writes, no hit
CopyJmp_QuadFieldEarlyJmpThenInstall_g_currentNodeIdx returned 2 writes, no hit
CopyJmp_ScaledSubStore_g_currentNodeIdx returned 2 writes, no hit
CopyJmp_SlotCmp3way_g_currentNodeIdx   returned 3 writes, no hit
CopyLoadInstallJmp_00445ed0            returned 4 writes, no hit
CopyLoadInstallJmp_00446210            returned 4 writes, no hit
CopyScaledTriple_00446120              returned 4 writes, no hit
CopyScaledTriple_00446350              returned 4 writes, no hit
CopyThreeFields                        returned 0 writes, no hit
CountdownClampWalk                     returned 3 writes, no hit
CountdownInstallSelfMultiTail          returned 4 writes, no hit
CountdownStoreCallChain                returned 18 writes, no hit
CountedLoopMStack                      returned 7 writes, no hit
CritSecLazyEnter                       ran out  1 writes, no hit
CritSecWrap350                         ran out  0 writes, no hit
CrouchAttackFsmCluster                 returned 5 writes, no hit
CrouchCounterCluster                   returned 27 writes, no hit
CrouchFsmCluster                       returned 31 writes, no hit
Crt80BitFloatMul                       returned 0 writes, no hit
CrtCodepageDispatcher                  ran out  0 writes, no hit
CrtDoubleToStringImpl                  returned 2 writes, no hit
CrtFdClose                             ran out  0 writes, no hit
CrtFileOpenImpl                        ran out  0 writes, no hit
CrtFloatConvert                        returned 2 writes, no hit
CrtFpieeeFlt                           ran out  6 writes, no hit
CrtFpuExceptionFilter                  returned 0 writes, no hit
CrtFreeLocaleInfo                      returned 0 writes, no hit
CrtFtolMatherrCluster                  ran out  1 writes, no hit
CrtGetLocaleInfo                       ran out  0 writes, no hit
CrtHeapCommitFreeCluster               returned 1 writes, no hit
CrtInitLocaleInfo                      returned 0 writes, no hit
CrtInitPerThreadData                   ran out  0 writes, no hit
CrtIoInitFdTable                       ran out  1 writes, no hit
CrtLocaleInfoFreeAll                   returned 0 writes, no hit
CrtMemMove                             returned 0 writes, no hit
CrtParseCommandLine                    returned 1 writes, no hit
CrtPowCluster                          returned 0 writes, no hit
CrtPowSpecialCases                     returned 0 writes, no hit
CrtReadCrlfDecode                      returned 0 writes, no hit
CrtSetlocaleInstaller                  ran out  1 writes, no hit
CrtTimeFmtPrefsCluster                 ran out  0 writes, no hit
CrtWoutputFormatInteger                ran out  0 writes, no hit
Crt_doserrno                           ran out  0 writes, no hit
Crt_errno                              ran out  0 writes, no hit
Crt_fpieee_flt                         returned 0 writes, no hit
Crt_rand                               ran out  0 writes, no hit
Crt_srand                              ran out  0 writes, no hit
DDraw3_Cleanup                         returned 0 writes, no hit
DDraw3_Create                          ran out  0 writes, no hit
DDraw3_CreateSurface                   returned 0 writes, no hit
DDraw3_GetSurface                      returned 0 writes, no hit
DDraw3_PostCreate                      ran out  2 writes, no hit
DDraw3_SetCooperativeLevel             returned 0 writes, no hit
DDraw5_Cleanup                         returned 0 writes, no hit
DDraw5_Create                          ran out  0 writes, no hit
DDraw5_CreateSurface                   returned 0 writes, no hit
DDraw5_GetSurface                      returned 0 writes, no hit
DDraw5_PostCreate                      ran out  2 writes, no hit
DDraw5_SetCooperativeLevel             returned 0 writes, no hit
DSoundBufferInit146_a40                returned 0 writes, no hit
DSoundBufferInit146_a60                returned 0 writes, no hit
DSoundBufferInit146_b290               returned 0 writes, no hit
DSoundBufferInit146_b519               returned 0 writes, no hit
DSoundCaptureSetupGate                 returned 0 writes, no hit
DSoundDualEntryRelease                 returned 0 writes, no hit
DSoundInstallerPair                    ran out  0 writes, no hit
DSoundQueryProperty                    ran out  0 writes, no hit
DSoundSetAxisPan123_004aec10           returned 0 writes, no hit
DSoundSetAxisPan123_004b50a0           returned 0 writes, no hit
DSound_GetContext                      returned 0 writes, no hit
DSound_Init                            ran out  3731 writes, no hit
DeadThunk                              ran out  0 writes, no hit
DeathAnimCluster                       ran out  6 writes, no hit
DebugMenu_DrawMatchOptions             returned 50 writes, no hit
DebugMenu_DrawUnlockToggles            returned 51 writes, no hit
DebugStub_NoOp_A                       returned 0 writes, no hit
DebugStub_NoOp_B                       returned 0 writes, no hit
DecBoundCheckCallJmp                   returned 45 writes, no hit
